Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Namespace(exp_name='new_lrgm2', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=200, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random')
Using GPU : 0 from 1 devices
Train 77, loss: 0.867253, train acc: 0.969715, train avg acc: 0.954812
Test 77, loss: 0.943784, test acc: 0.918558, test avg acc: 0.883500
Train 78, loss: 0.868849, train acc: 0.969512, train avg acc: 0.953207
Test 78, loss: 0.948240, test acc: 0.916126, test avg acc: 0.885378
Train 79, loss: 0.867137, train acc: 0.968496, train avg acc: 0.952875
Test 79, loss: 0.944333, test acc: 0.916937, test avg acc: 0.882378
Train 80, loss: 0.862450, train acc: 0.970427, train avg acc: 0.957189
Test 80, loss: 0.943374, test acc: 0.917342, test avg acc: 0.885337
Train 81, loss: 0.860208, train acc: 0.972866, train avg acc: 0.958982
Test 81, loss: 0.946194, test acc: 0.919368, test avg acc: 0.888122
Train 82, loss: 0.858182, train acc: 0.972663, train avg acc: 0.958306
Test 82, loss: 0.943614, test acc: 0.917342, test avg acc: 0.886669
Train 83, loss: 0.861408, train acc: 0.971341, train avg acc: 0.957172
Test 83, loss: 0.944573, test acc: 0.914506, test avg acc: 0.879081
Train 84, loss: 0.860682, train acc: 0.971646, train avg acc: 0.957890
Test 84, loss: 0.945672, test acc: 0.915316, test avg acc: 0.883378
Train 85, loss: 0.859034, train acc: 0.973577, train avg acc: 0.961336
Test 85, loss: 0.946152, test acc: 0.916126, test avg acc: 0.878122
Train 86, loss: 0.861177, train acc: 0.971646, train avg acc: 0.957787
Test 86, loss: 0.947829, test acc: 0.915316, test avg acc: 0.884087
Train 87, loss: 0.859255, train acc: 0.972256, train avg acc: 0.959317
Test 87, loss: 0.940685, test acc: 0.920178, test avg acc: 0.887913
Train 88, loss: 0.860464, train acc: 0.972764, train avg acc: 0.958851
Test 88, loss: 0.942441, test acc: 0.918558, test avg acc: 0.883331
Train 89, loss: 0.860558, train acc: 0.971951, train avg acc: 0.958556
Test 89, loss: 0.943474, test acc: 0.918963, test avg acc: 0.886750
Train 90, loss: 0.857339, train acc: 0.973069, train avg acc: 0.959927
Test 90, loss: 0.942591, test acc: 0.916532, test avg acc: 0.886959
Train 91, loss: 0.857045, train acc: 0.973984, train avg acc: 0.959582
Test 91, loss: 0.946123, test acc: 0.913695, test avg acc: 0.883256
Train 92, loss: 0.854867, train acc: 0.973171, train avg acc: 0.959103
Test 92, loss: 0.945636, test acc: 0.916126, test avg acc: 0.884919
Train 93, loss: 0.856090, train acc: 0.973577, train avg acc: 0.961883
Test 93, loss: 0.947883, test acc: 0.916126, test avg acc: 0.888250
Train 94, loss: 0.856312, train acc: 0.972561, train avg acc: 0.957219
Test 94, loss: 0.943912, test acc: 0.915721, test avg acc: 0.881337
Train 95, loss: 0.857893, train acc: 0.972459, train avg acc: 0.959078
Test 95, loss: 0.943330, test acc: 0.918152, test avg acc: 0.884535
Train 96, loss: 0.858315, train acc: 0.971646, train avg acc: 0.956084
Test 96, loss: 0.944660, test acc: 0.919773, test avg acc: 0.886500
Train 97, loss: 0.853891, train acc: 0.974593, train avg acc: 0.961445
Test 97, loss: 0.942270, test acc: 0.915721, test avg acc: 0.883587
Train 98, loss: 0.853128, train acc: 0.976118, train avg acc: 0.964153
