Namespace(exp_name='LLRGM_seg', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Test 77, loss: 0.890789, test acc: 0.929581, test avg acc: 0.817554, test iou: 0.832699
Train 78, loss: 0.869890, train acc: 0.943025, train avg acc: 0.812783, train iou: 0.841198
Test 78, loss: 0.878881, test acc: 0.933758, test avg acc: 0.816155, test iou: 0.833492
Train 79, loss: 0.870510, train acc: 0.943097, train avg acc: 0.816925, train iou: 0.841411
Test 79, loss: 0.872801, test acc: 0.937469, test avg acc: 0.832635, test iou: 0.839298
Train 80, loss: 0.870078, train acc: 0.942691, train avg acc: 0.814144, train iou: 0.841649
Test 80, loss: 0.910665, test acc: 0.920712, test avg acc: 0.793389, test iou: 0.815460
Train 81, loss: 0.873114, train acc: 0.941853, train avg acc: 0.810207, train iou: 0.839842
Test 81, loss: 0.883367, test acc: 0.932211, test avg acc: 0.823586, test iou: 0.831932
Train 82, loss: 0.869201, train acc: 0.942936, train avg acc: 0.811397, train iou: 0.841388
Test 82, loss: 0.877979, test acc: 0.934643, test avg acc: 0.808803, test iou: 0.832833
Train 83, loss: 0.870541, train acc: 0.942368, train avg acc: 0.812459, train iou: 0.840477
Test 83, loss: 0.888118, test acc: 0.931424, test avg acc: 0.816218, test iou: 0.826022
Train 84, loss: 0.869321, train acc: 0.943088, train avg acc: 0.814228, train iou: 0.841877
Test 84, loss: 0.868197, test acc: 0.936742, test avg acc: 0.839528, test iou: 0.837712
Train 85, loss: 0.870195, train acc: 0.942890, train avg acc: 0.810925, train iou: 0.841938
Test 85, loss: 0.879643, test acc: 0.933080, test avg acc: 0.804480, test iou: 0.828842
Train 86, loss: 0.871281, train acc: 0.942411, train avg acc: 0.807094, train iou: 0.840678
Test 86, loss: 0.877101, test acc: 0.935158, test avg acc: 0.814732, test iou: 0.838194
Train 87, loss: 0.870052, train acc: 0.942802, train avg acc: 0.816849, train iou: 0.841236
Test 87, loss: 0.889154, test acc: 0.929692, test avg acc: 0.819845, test iou: 0.824525
Train 88, loss: 0.870059, train acc: 0.942731, train avg acc: 0.811605, train iou: 0.841221
Test 88, loss: 0.874868, test acc: 0.936835, test avg acc: 0.823432, test iou: 0.839460
Train 89, loss: 0.868183, train acc: 0.943244, train avg acc: 0.817444, train iou: 0.842759
Test 89, loss: 0.902038, test acc: 0.926220, test avg acc: 0.791405, test iou: 0.810851
Train 90, loss: 0.866809, train acc: 0.943786, train avg acc: 0.816800, train iou: 0.843083
Test 90, loss: 0.878088, test acc: 0.934981, test avg acc: 0.802101, test iou: 0.835032
Train 91, loss: 0.866618, train acc: 0.943824, train avg acc: 0.818001, train iou: 0.843404
Test 91, loss: 0.883132, test acc: 0.932739, test avg acc: 0.819995, test iou: 0.832202
Train 92, loss: 0.867142, train acc: 0.943469, train avg acc: 0.814042, train iou: 0.842168
Test 92, loss: 0.885028, test acc: 0.930955, test avg acc: 0.815790, test iou: 0.824887
Train 93, loss: 0.866949, train acc: 0.943683, train avg acc: 0.817482, train iou: 0.842224
Test 93, loss: 0.873492, test acc: 0.936808, test avg acc: 0.824132, test iou: 0.840960
Train 94, loss: 0.868152, train acc: 0.943282, train avg acc: 0.815369, train iou: 0.843135
Test 94, loss: 0.875486, test acc: 0.935388, test avg acc: 0.836561, test iou: 0.837012
Train 95, loss: 0.865551, train acc: 0.944086, train avg acc: 0.818947, train iou: 0.843327
Test 95, loss: 0.891053, test acc: 0.930429, test avg acc: 0.803398, test iou: 0.828978
Train 96, loss: 0.867199, train acc: 0.944064, train avg acc: 0.819044, train iou: 0.842891
Test 96, loss: 0.873630, test acc: 0.936444, test avg acc: 0.825900, test iou: 0.839439
Train 97, loss: 0.864623, train acc: 0.944712, train avg acc: 0.817673, train iou: 0.844547
Test 97, loss: 0.881121, test acc: 0.931908, test avg acc: 0.830778, test iou: 0.832485
Train 98, loss: 0.866428, train acc: 0.943785, train avg acc: 0.814835, train iou: 0.843769
Test 98, loss: 0.881210, test acc: 0.933127, test avg acc: 0.797495, test iou: 0.832715
Train 99, loss: 0.866757, train acc: 0.943789, train avg acc: 0.813543, train iou: 0.842748
Test 99, loss: 0.876676, test acc: 0.935844, test avg acc: 0.838359, test iou: 0.843307
Train 100, loss: 0.863584, train acc: 0.944836, train avg acc: 0.822189, train iou: 0.845375
Test 100, loss: 0.869158, test acc: 0.937582, test avg acc: 0.813562, test iou: 0.840370
Train 101, loss: 0.863775, train acc: 0.944704, train avg acc: 0.819766, train iou: 0.845640
Test 101, loss: 0.882263, test acc: 0.935597, test avg acc: 0.827770, test iou: 0.838294
Train 102, loss: 0.865442, train acc: 0.944160, train avg acc: 0.819395, train iou: 0.843983
Test 102, loss: 0.875265, test acc: 0.935997, test avg acc: 0.827057, test iou: 0.838937
Train 103, loss: 0.862330, train acc: 0.945280, train avg acc: 0.824988, train iou: 0.846301
Test 103, loss: 0.878634, test acc: 0.933959, test avg acc: 0.827389, test iou: 0.836756
Train 104, loss: 0.863595, train acc: 0.944901, train avg acc: 0.818824, train iou: 0.844784
Test 104, loss: 0.894987, test acc: 0.928656, test avg acc: 0.844803, test iou: 0.812514
Train 105, loss: 0.863638, train acc: 0.944833, train avg acc: 0.821100, train iou: 0.844821
Test 105, loss: 0.875861, test acc: 0.935162, test avg acc: 0.835233, test iou: 0.838588
Train 106, loss: 0.864231, train acc: 0.944699, train avg acc: 0.823640, train iou: 0.845112
Test 106, loss: 0.882410, test acc: 0.932526, test avg acc: 0.835046, test iou: 0.828189
Train 107, loss: 0.859532, train acc: 0.946260, train avg acc: 0.827641, train iou: 0.846644
Test 107, loss: 0.868345, test acc: 0.938153, test avg acc: 0.833518, test iou: 0.840544
