Namespace(exp_name='new_lrgm', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 58, loss: 0.889302, train acc: 0.960874, train avg acc: 0.942085
Test 58, loss: 0.953338, test acc: 0.916532, test avg acc: 0.888494
Train 59, loss: 0.883297, train acc: 0.965955, train avg acc: 0.948810
Test 59, loss: 0.940401, test acc: 0.919773, test avg acc: 0.889128
Train 60, loss: 0.882890, train acc: 0.965752, train avg acc: 0.949518
Test 60, loss: 0.953596, test acc: 0.914100, test avg acc: 0.887872
Train 61, loss: 0.877339, train acc: 0.965650, train avg acc: 0.950880
Test 61, loss: 0.946643, test acc: 0.921799, test avg acc: 0.890866
Train 62, loss: 0.872618, train acc: 0.968293, train avg acc: 0.953486
Test 62, loss: 0.941040, test acc: 0.920583, test avg acc: 0.886831
Train 63, loss: 0.873818, train acc: 0.969512, train avg acc: 0.953570
Test 63, loss: 0.943110, test acc: 0.918558, test avg acc: 0.885581
Train 64, loss: 0.869789, train acc: 0.969919, train avg acc: 0.956255
Test 64, loss: 0.946375, test acc: 0.915721, test avg acc: 0.887872
Train 65, loss: 0.874766, train acc: 0.966667, train avg acc: 0.950227
Test 65, loss: 0.938182, test acc: 0.920178, test avg acc: 0.889831
Train 66, loss: 0.873427, train acc: 0.967988, train avg acc: 0.953247
Test 66, loss: 0.948469, test acc: 0.918152, test avg acc: 0.890413
Train 67, loss: 0.871660, train acc: 0.969512, train avg acc: 0.953682
Test 67, loss: 0.940984, test acc: 0.920583, test avg acc: 0.891872
Train 68, loss: 0.868137, train acc: 0.970122, train avg acc: 0.956743
Test 68, loss: 0.940933, test acc: 0.915721, test avg acc: 0.888587
Train 69, loss: 0.869247, train acc: 0.968089, train avg acc: 0.953185
Test 69, loss: 0.934828, test acc: 0.924230, test avg acc: 0.893203
Train 70, loss: 0.868405, train acc: 0.968394, train avg acc: 0.952426
Test 70, loss: 0.945531, test acc: 0.914911, test avg acc: 0.880372
Train 71, loss: 0.866173, train acc: 0.971850, train avg acc: 0.958581
Test 71, loss: 0.944389, test acc: 0.917342, test avg acc: 0.891581
Train 72, loss: 0.865318, train acc: 0.970935, train avg acc: 0.957231
Test 72, loss: 0.937107, test acc: 0.918558, test avg acc: 0.890663
Train 73, loss: 0.866713, train acc: 0.972053, train avg acc: 0.959605
Test 73, loss: 0.938308, test acc: 0.917747, test avg acc: 0.890959
Train 74, loss: 0.864101, train acc: 0.972154, train avg acc: 0.958381
Test 74, loss: 0.936655, test acc: 0.923015, test avg acc: 0.893494
Train 75, loss: 0.863728, train acc: 0.971138, train avg acc: 0.957867
Test 75, loss: 0.943928, test acc: 0.917747, test avg acc: 0.885000
Train 76, loss: 0.862112, train acc: 0.973272, train avg acc: 0.959838
Test 76, loss: 0.947368, test acc: 0.920178, test avg acc: 0.889581
Train 77, loss: 0.861543, train acc: 0.972053, train avg acc: 0.958547
Test 77, loss: 0.937172, test acc: 0.921394, test avg acc: 0.891372
Train 78, loss: 0.862363, train acc: 0.971341, train avg acc: 0.957105
Test 78, loss: 0.946860, test acc: 0.918152, test avg acc: 0.885372
Train 79, loss: 0.860747, train acc: 0.972358, train avg acc: 0.957748
Test 79, loss: 0.937945, test acc: 0.918558, test avg acc: 0.882703
Train 80, loss: 0.863063, train acc: 0.970528, train avg acc: 0.956731
Test 80, loss: 0.943013, test acc: 0.920178, test avg acc: 0.889622
Train 81, loss: 0.857792, train acc: 0.971443, train avg acc: 0.958757
Test 81, loss: 0.939806, test acc: 0.923015, test avg acc: 0.892291
Train 82, loss: 0.857167, train acc: 0.972053, train avg acc: 0.956963
Test 82, loss: 0.943879, test acc: 0.919368, test avg acc: 0.891000
Train 83, loss: 0.857326, train acc: 0.973679, train avg acc: 0.962246
Test 83, loss: 0.942259, test acc: 0.920989, test avg acc: 0.889285
Train 84, loss: 0.851746, train acc: 0.974593, train avg acc: 0.961525
Test 84, loss: 0.941427, test acc: 0.919368, test avg acc: 0.890163
Train 85, loss: 0.855901, train acc: 0.973679, train avg acc: 0.960030
Test 85, loss: 0.937930, test acc: 0.918963, test avg acc: 0.883831
Train 86, loss: 0.856647, train acc: 0.973069, train avg acc: 0.958327
Test 86, loss: 0.943142, test acc: 0.918963, test avg acc: 0.894669
