Namespace(exp_name='part_seg_globalts', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=13, test_batch_size=13, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, ptv3_patch=256, ptv3_heads=4, ptv3_morton_bits=10, no_ptv3_shift=False, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 56, loss: 0.889504, train acc: 0.936529, train avg acc: 0.783257, train iou: 0.826392
Test 56, loss: 0.890684, test acc: 0.930598, test avg acc: 0.788706, test iou: 0.822577
Train 57, loss: 0.888443, train acc: 0.936702, train avg acc: 0.787101, train iou: 0.827132
Test 57, loss: 0.888199, test acc: 0.932355, test avg acc: 0.799468, test iou: 0.829636
Train 58, loss: 0.887671, train acc: 0.937033, train avg acc: 0.782023, train iou: 0.826998
Test 58, loss: 0.885739, test acc: 0.932965, test avg acc: 0.798154, test iou: 0.824006
Train 59, loss: 0.890023, train acc: 0.936568, train avg acc: 0.783812, train iou: 0.827102
Test 59, loss: 0.898171, test acc: 0.925504, test avg acc: 0.806009, test iou: 0.817056
Train 60, loss: 0.886518, train acc: 0.937362, train avg acc: 0.785211, train iou: 0.828534
Test 60, loss: 0.893038, test acc: 0.932328, test avg acc: 0.805054, test iou: 0.827499
Train 61, loss: 0.886897, train acc: 0.936916, train avg acc: 0.786832, train iou: 0.828047
Test 61, loss: 0.887581, test acc: 0.930657, test avg acc: 0.791617, test iou: 0.822917
Train 62, loss: 0.886309, train acc: 0.937488, train avg acc: 0.785066, train iou: 0.828578
Test 62, loss: 0.883110, test acc: 0.933103, test avg acc: 0.813715, test iou: 0.831445
Train 63, loss: 0.885062, train acc: 0.937874, train avg acc: 0.790801, train iou: 0.829355
Test 63, loss: 0.887725, test acc: 0.931179, test avg acc: 0.801696, test iou: 0.825347
Train 64, loss: 0.885604, train acc: 0.937516, train avg acc: 0.783416, train iou: 0.828617
Test 64, loss: 0.879251, test acc: 0.933793, test avg acc: 0.820967, test iou: 0.832951
Train 65, loss: 0.884179, train acc: 0.938278, train avg acc: 0.787429, train iou: 0.830614
Test 65, loss: 0.903691, test acc: 0.928551, test avg acc: 0.774898, test iou: 0.819303
Train 66, loss: 0.885492, train acc: 0.937624, train avg acc: 0.788305, train iou: 0.829416
Test 66, loss: 0.899314, test acc: 0.928037, test avg acc: 0.770731, test iou: 0.817273
Train 67, loss: 0.883315, train acc: 0.938485, train avg acc: 0.791485, train iou: 0.830483
Test 67, loss: 0.905808, test acc: 0.922982, test avg acc: 0.783831, test iou: 0.822959
Train 68, loss: 0.883931, train acc: 0.937947, train avg acc: 0.787740, train iou: 0.830395
Test 68, loss: 0.886220, test acc: 0.932299, test avg acc: 0.820752, test iou: 0.828840
Train 69, loss: 0.887231, train acc: 0.936961, train avg acc: 0.786657, train iou: 0.827109
Test 69, loss: 0.904105, test acc: 0.926421, test avg acc: 0.806069, test iou: 0.823250
Train 70, loss: 0.884525, train acc: 0.938113, train avg acc: 0.788352, train iou: 0.829222
Test 70, loss: 0.902833, test acc: 0.923906, test avg acc: 0.804196, test iou: 0.818752
Train 71, loss: 0.884827, train acc: 0.938153, train avg acc: 0.788526, train iou: 0.829593
Test 71, loss: 0.910925, test acc: 0.924441, test avg acc: 0.782873, test iou: 0.814126
Train 72, loss: 0.883947, train acc: 0.938438, train avg acc: 0.790903, train iou: 0.829908
Test 72, loss: 0.906395, test acc: 0.924435, test avg acc: 0.785096, test iou: 0.820295
Train 73, loss: 0.882989, train acc: 0.938373, train avg acc: 0.789211, train iou: 0.830355
Test 73, loss: 0.879402, test acc: 0.933744, test avg acc: 0.821692, test iou: 0.827397
Train 74, loss: 0.884501, train acc: 0.937974, train avg acc: 0.788847, train iou: 0.828816
Test 74, loss: 0.924025, test acc: 0.914939, test avg acc: 0.789526, test iou: 0.815068
Train 75, loss: 0.883996, train acc: 0.938343, train avg acc: 0.792508, train iou: 0.830361
Test 75, loss: 0.887297, test acc: 0.932702, test avg acc: 0.809040, test iou: 0.826531
Train 76, loss: 0.885106, train acc: 0.937973, train avg acc: 0.790418, train iou: 0.829913
Test 76, loss: 0.913341, test acc: 0.920414, test avg acc: 0.768808, test iou: 0.814379
Train 77, loss: 0.882835, train acc: 0.938528, train avg acc: 0.792975, train iou: 0.831171
Test 77, loss: 0.901159, test acc: 0.925793, test avg acc: 0.797088, test iou: 0.808827
Train 78, loss: 0.882261, train acc: 0.938809, train avg acc: 0.797193, train iou: 0.830901
Test 78, loss: 0.893853, test acc: 0.930799, test avg acc: 0.800142, test iou: 0.824445
Train 79, loss: 0.881928, train acc: 0.938869, train avg acc: 0.794349, train iou: 0.830563
Test 79, loss: 0.884302, test acc: 0.933519, test avg acc: 0.801269, test iou: 0.828906
Train 80, loss: 0.882523, train acc: 0.938601, train avg acc: 0.792986, train iou: 0.830551
Test 80, loss: 0.907136, test acc: 0.924036, test avg acc: 0.793166, test iou: 0.817724
Train 81, loss: 0.881943, train acc: 0.938570, train avg acc: 0.792121, train iou: 0.830898
Test 81, loss: 0.881810, test acc: 0.933270, test avg acc: 0.812952, test iou: 0.832943
Train 82, loss: 0.880046, train acc: 0.939702, train avg acc: 0.798902, train iou: 0.832656
Test 82, loss: 0.890948, test acc: 0.927553, test avg acc: 0.813576, test iou: 0.830838
Train 83, loss: 0.880560, train acc: 0.939257, train avg acc: 0.795711, train iou: 0.832010
Test 83, loss: 0.892235, test acc: 0.930199, test avg acc: 0.826064, test iou: 0.825549
Train 84, loss: 0.882707, train acc: 0.938672, train avg acc: 0.796446, train iou: 0.830552
Test 84, loss: 0.930454, test acc: 0.913020, test avg acc: 0.783756, test iou: 0.798643
Train 85, loss: 0.882618, train acc: 0.938406, train avg acc: 0.791411, train iou: 0.830915
Test 85, loss: 0.911789, test acc: 0.924537, test avg acc: 0.790334, test iou: 0.815286
Train 86, loss: 0.879046, train acc: 0.940042, train avg acc: 0.798885, train iou: 0.832767
Test 86, loss: 0.876610, test acc: 0.934973, test avg acc: 0.828417, test iou: 0.827787
Train 87, loss: 0.879408, train acc: 0.939645, train avg acc: 0.796418, train iou: 0.831752
Test 87, loss: 0.890014, test acc: 0.931722, test avg acc: 0.813182, test iou: 0.830125
Train 88, loss: 0.882359, train acc: 0.938372, train avg acc: 0.794739, train iou: 0.831225
Test 88, loss: 0.880327, test acc: 0.933911, test avg acc: 0.808676, test iou: 0.829411
Train 89, loss: 0.879862, train acc: 0.939435, train avg acc: 0.796845, train iou: 0.832783
Test 89, loss: 0.882295, test acc: 0.933582, test avg acc: 0.817202, test iou: 0.827240
Train 90, loss: 0.879690, train acc: 0.939595, train avg acc: 0.801098, train iou: 0.832787
Test 90, loss: 0.894419, test acc: 0.927170, test avg acc: 0.808078, test iou: 0.819831
Train 91, loss: 0.878991, train acc: 0.939598, train avg acc: 0.797302, train iou: 0.833002
Test 91, loss: 0.885965, test acc: 0.931891, test avg acc: 0.824137, test iou: 0.832965
Train 92, loss: 0.879355, train acc: 0.939180, train avg acc: 0.795411, train iou: 0.832465
Test 92, loss: 0.879422, test acc: 0.934176, test avg acc: 0.787451, test iou: 0.830413
