Namespace(exp_name='PRWKV-IFM_LRGM', model='GTNet', dataset='shapenetpart', class_choice=None, batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=100, eval=False, num_points=2048, dropout=0.5, emb_dims=512, k=20, model_path='', visu='all', visu_format='ply')
Using GPU : 0 from 1 devices
Train 47, loss: 0.875793, train acc: 0.940797, train avg acc: 0.805180, train iou: 0.838491
Test 47, loss: 0.895185, test acc: 0.928869, test avg acc: 0.816880, test iou: 0.827507
Train 48, loss: 0.874855, train acc: 0.941394, train avg acc: 0.803955, train iou: 0.839824
Test 48, loss: 0.892402, test acc: 0.928294, test avg acc: 0.816931, test iou: 0.819066
Train 49, loss: 0.873795, train acc: 0.941381, train avg acc: 0.802974, train iou: 0.839369
Test 49, loss: 0.896612, test acc: 0.925293, test avg acc: 0.813069, test iou: 0.823802
Train 50, loss: 0.873336, train acc: 0.941353, train avg acc: 0.802263, train iou: 0.838988
Test 50, loss: 0.877184, test acc: 0.935820, test avg acc: 0.791028, test iou: 0.834275
Train 51, loss: 0.872999, train acc: 0.941655, train avg acc: 0.808853, train iou: 0.839339
Test 51, loss: 0.890034, test acc: 0.929932, test avg acc: 0.801372, test iou: 0.826423
Train 52, loss: 0.872491, train acc: 0.941812, train avg acc: 0.809298, train iou: 0.839360
Test 52, loss: 0.886067, test acc: 0.932798, test avg acc: 0.807987, test iou: 0.830360
Train 53, loss: 0.873599, train acc: 0.941065, train avg acc: 0.805896, train iou: 0.839052
Test 53, loss: 0.897324, test acc: 0.926555, test avg acc: 0.813216, test iou: 0.817054
Train 54, loss: 0.873301, train acc: 0.941499, train avg acc: 0.803296, train iou: 0.839114
Test 54, loss: 0.880264, test acc: 0.934801, test avg acc: 0.799917, test iou: 0.832335
Train 55, loss: 0.870905, train acc: 0.942513, train avg acc: 0.810058, train iou: 0.840946
Test 55, loss: 0.892014, test acc: 0.931348, test avg acc: 0.810931, test iou: 0.832459
Train 56, loss: 0.872043, train acc: 0.941624, train avg acc: 0.811216, train iou: 0.840343
Test 56, loss: 0.881644, test acc: 0.932472, test avg acc: 0.809064, test iou: 0.830805
Train 57, loss: 0.872345, train acc: 0.941899, train avg acc: 0.807788, train iou: 0.840216
