Namespace(exp_name='no_t-net_guonihe', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=8, epochs=250, use_sgd=True, lr=0.0001, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Test 69, loss: 0.946509, test acc: 0.917747, test avg acc: 0.887831
Train 70, loss: 0.862884, train acc: 0.973272, train avg acc: 0.960290
Test 70, loss: 0.945961, test acc: 0.917342, test avg acc: 0.885709
Train 71, loss: 0.858864, train acc: 0.975000, train avg acc: 0.963503
Test 71, loss: 0.950031, test acc: 0.918963, test avg acc: 0.891750
Train 72, loss: 0.858471, train acc: 0.974390, train avg acc: 0.961771
Test 72, loss: 0.941567, test acc: 0.921394, test avg acc: 0.891244
Train 73, loss: 0.861207, train acc: 0.972154, train avg acc: 0.957140
Test 73, loss: 0.936913, test acc: 0.922609, test avg acc: 0.895953
Train 74, loss: 0.854890, train acc: 0.974797, train avg acc: 0.963518
Test 74, loss: 0.944672, test acc: 0.918963, test avg acc: 0.894872
Train 75, loss: 0.858933, train acc: 0.973476, train avg acc: 0.958996
Test 75, loss: 0.945523, test acc: 0.918558, test avg acc: 0.891831
Train 76, loss: 0.856928, train acc: 0.974390, train avg acc: 0.960993
Test 76, loss: 0.945428, test acc: 0.921799, test avg acc: 0.892744
Train 77, loss: 0.859157, train acc: 0.973984, train avg acc: 0.962600
Test 77, loss: 0.948840, test acc: 0.916126, test avg acc: 0.889250
Train 78, loss: 0.855928, train acc: 0.975711, train avg acc: 0.963402
Test 78, loss: 0.944422, test acc: 0.920583, test avg acc: 0.891913
Train 79, loss: 0.855552, train acc: 0.975813, train avg acc: 0.962609
Test 79, loss: 0.945793, test acc: 0.918963, test avg acc: 0.891663
Train 80, loss: 0.859323, train acc: 0.973171, train avg acc: 0.959826
Test 80, loss: 0.945555, test acc: 0.918558, test avg acc: 0.893169
Train 81, loss: 0.850507, train acc: 0.976829, train avg acc: 0.964685
Test 81, loss: 0.945508, test acc: 0.917747, test avg acc: 0.888378
Train 82, loss: 0.850975, train acc: 0.977439, train avg acc: 0.967824
Test 82, loss: 0.949459, test acc: 0.917747, test avg acc: 0.893041
Train 83, loss: 0.850790, train acc: 0.976118, train avg acc: 0.965283
Test 83, loss: 0.947579, test acc: 0.916937, test avg acc: 0.894541
Train 84, loss: 0.854363, train acc: 0.975508, train avg acc: 0.963220
Test 84, loss: 0.945161, test acc: 0.919368, test avg acc: 0.891831
Train 85, loss: 0.848367, train acc: 0.977134, train avg acc: 0.965737
Test 85, loss: 0.941603, test acc: 0.919368, test avg acc: 0.893953
Train 86, loss: 0.854241, train acc: 0.975305, train avg acc: 0.963728
Test 86, loss: 0.948737, test acc: 0.916126, test avg acc: 0.888244
Train 87, loss: 0.850658, train acc: 0.975610, train avg acc: 0.966149
Test 87, loss: 0.943743, test acc: 0.920989, test avg acc: 0.899041
Train 88, loss: 0.847632, train acc: 0.977846, train avg acc: 0.966496
Test 88, loss: 0.943453, test acc: 0.920989, test avg acc: 0.892872
Train 89, loss: 0.849590, train acc: 0.974492, train avg acc: 0.961888
Test 89, loss: 0.940281, test acc: 0.920583, test avg acc: 0.893744
Train 90, loss: 0.848324, train acc: 0.977744, train avg acc: 0.966859
Test 90, loss: 0.944157, test acc: 0.917747, test avg acc: 0.888203
Train 91, loss: 0.847845, train acc: 0.976728, train avg acc: 0.965419
Test 91, loss: 0.945222, test acc: 0.917747, test avg acc: 0.890831
Train 92, loss: 0.846724, train acc: 0.978963, train avg acc: 0.968855
Test 92, loss: 0.942552, test acc: 0.921394, test avg acc: 0.898541
Train 93, loss: 0.849675, train acc: 0.976728, train avg acc: 0.965366
Test 93, loss: 0.943336, test acc: 0.920178, test avg acc: 0.894419
Train 94, loss: 0.846461, train acc: 0.977134, train avg acc: 0.966863
Test 94, loss: 0.944071, test acc: 0.917747, test avg acc: 0.891419
Train 95, loss: 0.846262, train acc: 0.977033, train avg acc: 0.965654
Test 95, loss: 0.945764, test acc: 0.917342, test avg acc: 0.891372
Train 96, loss: 0.844109, train acc: 0.978455, train avg acc: 0.967862
Test 96, loss: 0.941355, test acc: 0.921394, test avg acc: 0.892872
Train 97, loss: 0.848256, train acc: 0.976626, train avg acc: 0.965173
Test 97, loss: 0.942400, test acc: 0.919368, test avg acc: 0.895081
Train 98, loss: 0.845387, train acc: 0.977642, train avg acc: 0.966684
Test 98, loss: 0.945642, test acc: 0.918152, test avg acc: 0.890872
Train 99, loss: 0.846868, train acc: 0.977541, train avg acc: 0.966692
Test 99, loss: 0.941197, test acc: 0.920583, test avg acc: 0.890663
Train 100, loss: 0.848667, train acc: 0.977134, train avg acc: 0.965928
Test 100, loss: 0.943123, test acc: 0.914911, test avg acc: 0.891081
Train 101, loss: 0.845013, train acc: 0.978557, train avg acc: 0.966407
Test 101, loss: 0.945181, test acc: 0.919368, test avg acc: 0.893163
Train 102, loss: 0.843474, train acc: 0.979980, train avg acc: 0.970176
Test 102, loss: 0.937773, test acc: 0.920583, test avg acc: 0.890831
Train 103, loss: 0.843107, train acc: 0.979370, train avg acc: 0.966215
Test 103, loss: 0.942070, test acc: 0.917747, test avg acc: 0.888076
Train 104, loss: 0.842689, train acc: 0.978354, train avg acc: 0.967907
Test 104, loss: 0.941524, test acc: 0.920989, test avg acc: 0.896913
Train 105, loss: 0.844088, train acc: 0.977541, train avg acc: 0.965957
Test 105, loss: 0.942861, test acc: 0.920583, test avg acc: 0.896913
Train 106, loss: 0.843994, train acc: 0.978455, train avg acc: 0.969126
Test 106, loss: 0.940955, test acc: 0.925041, test avg acc: 0.895622
Train 107, loss: 0.844576, train acc: 0.979065, train avg acc: 0.967293
Test 107, loss: 0.944335, test acc: 0.919773, test avg acc: 0.893413
Train 108, loss: 0.841613, train acc: 0.978557, train avg acc: 0.968483
Test 108, loss: 0.941851, test acc: 0.923420, test avg acc: 0.899326
Train 109, loss: 0.842737, train acc: 0.978659, train avg acc: 0.969379
Test 109, loss: 0.937896, test acc: 0.924230, test avg acc: 0.901413
Train 110, loss: 0.838640, train acc: 0.979980, train avg acc: 0.971062
Test 110, loss: 0.936285, test acc: 0.923015, test avg acc: 0.900035
Train 111, loss: 0.841529, train acc: 0.981911, train avg acc: 0.973172
Test 111, loss: 0.939911, test acc: 0.920583, test avg acc: 0.894831
Train 112, loss: 0.846115, train acc: 0.977439, train avg acc: 0.964563
Test 112, loss: 0.934883, test acc: 0.927877, test avg acc: 0.902535
Train 113, loss: 0.845002, train acc: 0.978150, train avg acc: 0.966923
Test 113, loss: 0.940080, test acc: 0.922204, test avg acc: 0.901831
Train 114, loss: 0.841848, train acc: 0.979472, train avg acc: 0.970040
Test 114, loss: 0.933668, test acc: 0.924230, test avg acc: 0.898076
Train 115, loss: 0.840148, train acc: 0.980793, train avg acc: 0.971156
Test 115, loss: 0.941009, test acc: 0.921799, test avg acc: 0.894622
Train 116, loss: 0.844718, train acc: 0.977744, train avg acc: 0.967525
Test 116, loss: 0.939217, test acc: 0.921394, test avg acc: 0.892285
Train 117, loss: 0.844909, train acc: 0.977744, train avg acc: 0.965011
Test 117, loss: 0.941580, test acc: 0.920583, test avg acc: 0.893785
Train 118, loss: 0.841376, train acc: 0.979573, train avg acc: 0.969239
Test 118, loss: 0.943373, test acc: 0.917342, test avg acc: 0.893663
Train 119, loss: 0.842282, train acc: 0.977337, train avg acc: 0.965513
Test 119, loss: 0.940826, test acc: 0.919368, test avg acc: 0.893872
Train 120, loss: 0.840538, train acc: 0.980081, train avg acc: 0.972333
Test 120, loss: 0.942690, test acc: 0.921394, test avg acc: 0.892372
Train 121, loss: 0.841347, train acc: 0.980285, train avg acc: 0.971482
Test 121, loss: 0.942557, test acc: 0.919368, test avg acc: 0.892000
Train 122, loss: 0.841626, train acc: 0.979878, train avg acc: 0.971169
Test 122, loss: 0.940151, test acc: 0.923015, test avg acc: 0.900872
Train 123, loss: 0.839782, train acc: 0.979980, train avg acc: 0.971018
Test 123, loss: 0.935859, test acc: 0.919368, test avg acc: 0.890244
Train 124, loss: 0.841588, train acc: 0.977846, train avg acc: 0.965633
Test 124, loss: 0.940389, test acc: 0.921394, test avg acc: 0.898285
Train 125, loss: 0.843012, train acc: 0.977541, train avg acc: 0.967785
Test 125, loss: 0.941792, test acc: 0.920178, test avg acc: 0.895826
Train 126, loss: 0.840296, train acc: 0.979472, train avg acc: 0.969425
Test 126, loss: 0.938463, test acc: 0.918558, test avg acc: 0.886081
Train 127, loss: 0.838554, train acc: 0.981911, train avg acc: 0.974365
Test 127, loss: 0.940073, test acc: 0.920989, test avg acc: 0.898035
Train 128, loss: 0.840329, train acc: 0.980488, train avg acc: 0.972015
Test 128, loss: 0.937777, test acc: 0.921799, test avg acc: 0.897494
Train 129, loss: 0.840351, train acc: 0.979167, train avg acc: 0.967798
Test 129, loss: 0.941167, test acc: 0.923420, test avg acc: 0.894413
Train 130, loss: 0.840037, train acc: 0.980386, train avg acc: 0.969992
Test 130, loss: 0.945755, test acc: 0.922204, test avg acc: 0.893994
Train 131, loss: 0.838336, train acc: 0.980386, train avg acc: 0.969671
Test 131, loss: 0.944275, test acc: 0.921799, test avg acc: 0.899919
Train 132, loss: 0.843013, train acc: 0.978862, train avg acc: 0.969873
Test 132, loss: 0.943529, test acc: 0.916532, test avg acc: 0.887041
Train 133, loss: 0.837701, train acc: 0.980996, train avg acc: 0.970871
Test 133, loss: 0.939281, test acc: 0.921394, test avg acc: 0.896494
Train 134, loss: 0.839590, train acc: 0.979472, train avg acc: 0.969739
Test 134, loss: 0.940363, test acc: 0.923825, test avg acc: 0.897541
Train 135, loss: 0.839022, train acc: 0.981098, train avg acc: 0.972390
Test 135, loss: 0.939443, test acc: 0.920178, test avg acc: 0.895459
Train 136, loss: 0.838884, train acc: 0.979167, train avg acc: 0.969839
Test 136, loss: 0.939271, test acc: 0.921394, test avg acc: 0.898035
Train 137, loss: 0.842139, train acc: 0.977744, train avg acc: 0.967345
Test 137, loss: 0.940656, test acc: 0.921394, test avg acc: 0.895331
Train 138, loss: 0.837840, train acc: 0.980183, train avg acc: 0.969401
Test 138, loss: 0.940060, test acc: 0.918963, test avg acc: 0.893581
Train 139, loss: 0.837362, train acc: 0.982114, train avg acc: 0.973798
Test 139, loss: 0.946024, test acc: 0.916937, test avg acc: 0.891209
Train 140, loss: 0.839301, train acc: 0.980793, train avg acc: 0.971598
Test 140, loss: 0.937302, test acc: 0.920583, test avg acc: 0.894581
Train 141, loss: 0.838060, train acc: 0.980183, train avg acc: 0.970162
Test 141, loss: 0.937883, test acc: 0.920178, test avg acc: 0.892535
Train 142, loss: 0.842037, train acc: 0.979268, train avg acc: 0.969532
Test 142, loss: 0.942284, test acc: 0.922204, test avg acc: 0.897035
Train 143, loss: 0.839822, train acc: 0.980996, train avg acc: 0.971390
Test 143, loss: 0.944320, test acc: 0.913290, test avg acc: 0.884209
Train 144, loss: 0.838664, train acc: 0.979370, train avg acc: 0.969279
Test 144, loss: 0.940374, test acc: 0.920178, test avg acc: 0.893413
Train 145, loss: 0.839458, train acc: 0.980081, train avg acc: 0.970479
Test 145, loss: 0.941823, test acc: 0.920178, test avg acc: 0.893413
Train 146, loss: 0.836164, train acc: 0.980589, train avg acc: 0.970217
Test 146, loss: 0.936300, test acc: 0.925851, test avg acc: 0.902494
Train 147, loss: 0.838438, train acc: 0.978354, train avg acc: 0.966552
Test 147, loss: 0.939835, test acc: 0.921799, test avg acc: 0.898826
Train 148, loss: 0.837294, train acc: 0.980996, train avg acc: 0.970470
Test 148, loss: 0.941138, test acc: 0.920583, test avg acc: 0.894587
Train 149, loss: 0.839451, train acc: 0.979472, train avg acc: 0.971272
Test 149, loss: 0.947869, test acc: 0.914911, test avg acc: 0.893209
Train 150, loss: 0.838060, train acc: 0.980488, train avg acc: 0.970849
Test 150, loss: 0.941822, test acc: 0.920178, test avg acc: 0.893535
Train 151, loss: 0.839099, train acc: 0.980691, train avg acc: 0.972619
Test 151, loss: 0.940968, test acc: 0.920583, test avg acc: 0.893291
Train 152, loss: 0.841032, train acc: 0.979268, train avg acc: 0.970678
Test 152, loss: 0.937079, test acc: 0.922204, test avg acc: 0.892744
Train 153, loss: 0.837645, train acc: 0.980488, train avg acc: 0.973377
Test 153, loss: 0.941656, test acc: 0.918963, test avg acc: 0.886581
Train 154, loss: 0.837746, train acc: 0.982012, train avg acc: 0.973140
Test 154, loss: 0.942884, test acc: 0.918152, test avg acc: 0.889581
Train 155, loss: 0.838973, train acc: 0.978862, train avg acc: 0.968525
Test 155, loss: 0.938976, test acc: 0.921799, test avg acc: 0.895703
Train 156, loss: 0.836120, train acc: 0.981098, train avg acc: 0.972025
Test 156, loss: 0.940504, test acc: 0.923015, test avg acc: 0.897413
Train 157, loss: 0.839812, train acc: 0.979675, train avg acc: 0.968741
Test 157, loss: 0.940925, test acc: 0.920178, test avg acc: 0.889453
Train 158, loss: 0.839362, train acc: 0.981707, train avg acc: 0.973507
Test 158, loss: 0.946220, test acc: 0.918558, test avg acc: 0.894541
Train 159, loss: 0.837411, train acc: 0.980894, train avg acc: 0.971921
Test 159, loss: 0.940579, test acc: 0.920583, test avg acc: 0.895663
Train 160, loss: 0.836246, train acc: 0.980894, train avg acc: 0.972474
Test 160, loss: 0.938422, test acc: 0.920583, test avg acc: 0.897378
Train 161, loss: 0.839536, train acc: 0.979776, train avg acc: 0.971491
Test 161, loss: 0.939715, test acc: 0.915316, test avg acc: 0.893215
Train 162, loss: 0.835321, train acc: 0.982114, train avg acc: 0.973190
Test 162, loss: 0.943331, test acc: 0.921799, test avg acc: 0.895453
Train 163, loss: 0.839314, train acc: 0.979980, train avg acc: 0.972453
Test 163, loss: 0.943318, test acc: 0.918963, test avg acc: 0.893872
Train 164, loss: 0.837240, train acc: 0.979980, train avg acc: 0.970112
Test 164, loss: 0.943765, test acc: 0.916937, test avg acc: 0.886250
Train 165, loss: 0.834427, train acc: 0.982724, train avg acc: 0.973476
Test 165, loss: 0.940262, test acc: 0.925041, test avg acc: 0.898116
Train 166, loss: 0.840345, train acc: 0.978557, train avg acc: 0.967578
Test 166, loss: 0.937904, test acc: 0.920989, test avg acc: 0.895826
Train 167, loss: 0.837932, train acc: 0.981402, train avg acc: 0.971378
Test 167, loss: 0.941993, test acc: 0.919368, test avg acc: 0.892163
Train 168, loss: 0.837272, train acc: 0.982114, train avg acc: 0.972572
Test 168, loss: 0.938443, test acc: 0.923825, test avg acc: 0.894907
Train 169, loss: 0.836281, train acc: 0.980894, train avg acc: 0.972750
Test 169, loss: 0.942015, test acc: 0.919368, test avg acc: 0.893872
Train 170, loss: 0.839382, train acc: 0.979776, train avg acc: 0.971032
Test 170, loss: 0.940268, test acc: 0.919773, test avg acc: 0.896035
Train 171, loss: 0.834449, train acc: 0.983232, train avg acc: 0.974707
Test 171, loss: 0.944118, test acc: 0.922204, test avg acc: 0.897744
Train 172, loss: 0.839398, train acc: 0.979268, train avg acc: 0.970432
Test 172, loss: 0.945056, test acc: 0.917342, test avg acc: 0.893459
Train 173, loss: 0.837067, train acc: 0.982012, train avg acc: 0.973636
Test 173, loss: 0.943750, test acc: 0.918558, test avg acc: 0.890000
Train 174, loss: 0.837656, train acc: 0.979370, train avg acc: 0.969024
Test 174, loss: 0.943479, test acc: 0.920178, test avg acc: 0.892581
Train 175, loss: 0.838973, train acc: 0.979675, train avg acc: 0.969659
Test 175, loss: 0.940719, test acc: 0.920989, test avg acc: 0.894785
Train 176, loss: 0.839472, train acc: 0.979776, train avg acc: 0.969775
Test 176, loss: 0.935292, test acc: 0.925446, test avg acc: 0.899035
Train 177, loss: 0.835083, train acc: 0.982012, train avg acc: 0.973473
Test 177, loss: 0.933641, test acc: 0.923420, test avg acc: 0.898744
Train 178, loss: 0.837223, train acc: 0.980183, train avg acc: 0.969816
Test 178, loss: 0.933145, test acc: 0.921394, test avg acc: 0.892203
Train 179, loss: 0.837739, train acc: 0.979776, train avg acc: 0.969933
Test 179, loss: 0.939998, test acc: 0.916126, test avg acc: 0.886669
Train 180, loss: 0.837630, train acc: 0.980488, train avg acc: 0.971368
Test 180, loss: 0.943054, test acc: 0.920583, test avg acc: 0.894994
Train 181, loss: 0.834115, train acc: 0.979167, train avg acc: 0.969383
