Namespace(exp_name='LPR++', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Test 54, loss: 0.957787, test acc: 0.918963, test avg acc: 0.887831
Train 55, loss: 0.915100, train acc: 0.953963, train avg acc: 0.932459
Test 55, loss: 0.952394, test acc: 0.917747, test avg acc: 0.885919
Train 56, loss: 0.916114, train acc: 0.953557, train avg acc: 0.930340
Test 56, loss: 0.952692, test acc: 0.916532, test avg acc: 0.889337
Train 57, loss: 0.909374, train acc: 0.954472, train avg acc: 0.933842
Test 57, loss: 0.951533, test acc: 0.919773, test avg acc: 0.892459
Train 58, loss: 0.911258, train acc: 0.953252, train avg acc: 0.929868
Test 58, loss: 0.945192, test acc: 0.924635, test avg acc: 0.892250
Train 59, loss: 0.908340, train acc: 0.956098, train avg acc: 0.935440
Test 59, loss: 0.949899, test acc: 0.921394, test avg acc: 0.895372
Train 60, loss: 0.909215, train acc: 0.953963, train avg acc: 0.930230
Test 60, loss: 0.953912, test acc: 0.921394, test avg acc: 0.890372
Train 61, loss: 0.897893, train acc: 0.958740, train avg acc: 0.937851
Test 61, loss: 0.946403, test acc: 0.919773, test avg acc: 0.887419
Train 62, loss: 0.903165, train acc: 0.955691, train avg acc: 0.934917
Test 62, loss: 0.950600, test acc: 0.921799, test avg acc: 0.890831
Train 63, loss: 0.901000, train acc: 0.957825, train avg acc: 0.939327
Test 63, loss: 0.949405, test acc: 0.920178, test avg acc: 0.889663
Train 64, loss: 0.901794, train acc: 0.958537, train avg acc: 0.936941
Test 64, loss: 0.951812, test acc: 0.919368, test avg acc: 0.883413
Train 65, loss: 0.896729, train acc: 0.959045, train avg acc: 0.939576
Test 65, loss: 0.948764, test acc: 0.918152, test avg acc: 0.886541
Train 66, loss: 0.891918, train acc: 0.961484, train avg acc: 0.943382
Test 66, loss: 0.950003, test acc: 0.920989, test avg acc: 0.891291
Train 67, loss: 0.894516, train acc: 0.961687, train avg acc: 0.944340
Test 67, loss: 0.948592, test acc: 0.921394, test avg acc: 0.893500
Train 68, loss: 0.893953, train acc: 0.961280, train avg acc: 0.942151
Test 68, loss: 0.941727, test acc: 0.919773, test avg acc: 0.887169
Train 69, loss: 0.896130, train acc: 0.959350, train avg acc: 0.939545
Test 69, loss: 0.942345, test acc: 0.918963, test avg acc: 0.883500
