Namespace(exp_name='exp', model='GTNet', dataset='modelnet40', batch_size=4, test_batch_size=8, epochs=250, use_sgd=True, lr=1e-05, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 97, loss: 1.524296, test acc: 0.920178, test avg acc: 0.884791
Train 98, loss: 1.577515, train acc: 0.917378, train avg acc: 0.880904
Test 98, loss: 1.523497, test acc: 0.918152, test avg acc: 0.875192
Train 99, loss: 1.580306, train acc: 0.918699, train avg acc: 0.881507
Test 99, loss: 1.529788, test acc: 0.920583, test avg acc: 0.889541
Train 100, loss: 1.576375, train acc: 0.919309, train avg acc: 0.882006
Test 100, loss: 1.532568, test acc: 0.912075, test avg acc: 0.869512
Train 101, loss: 1.572935, train acc: 0.922663, train avg acc: 0.887856
Test 101, loss: 1.525127, test acc: 0.915316, test avg acc: 0.882256
Train 102, loss: 1.567455, train acc: 0.921850, train avg acc: 0.883493
Test 102, loss: 1.516124, test acc: 0.916532, test avg acc: 0.877291
Train 103, loss: 1.571871, train acc: 0.917886, train avg acc: 0.880551
Test 103, loss: 1.528971, test acc: 0.908428, test avg acc: 0.865424
Train 104, loss: 1.577682, train acc: 0.920122, train avg acc: 0.879851
Test 104, loss: 1.544873, test acc: 0.908023, test avg acc: 0.874163
Train 105, loss: 1.572793, train acc: 0.921240, train avg acc: 0.887114
Test 105, loss: 1.527972, test acc: 0.912480, test avg acc: 0.869419
Train 106, loss: 1.570976, train acc: 0.919715, train avg acc: 0.880635
Test 106, loss: 1.508046, test acc: 0.917747, test avg acc: 0.877576
Train 107, loss: 1.572193, train acc: 0.923984, train avg acc: 0.889737
Test 107, loss: 1.531677, test acc: 0.909238, test avg acc: 0.870913
Train 108, loss: 1.571956, train acc: 0.921138, train avg acc: 0.884857
Test 108, loss: 1.523523, test acc: 0.916126, test avg acc: 0.869035
Train 109, loss: 1.560041, train acc: 0.927541, train avg acc: 0.893511
Test 109, loss: 1.524697, test acc: 0.916126, test avg acc: 0.876831
Train 110, loss: 1.561364, train acc: 0.925407, train avg acc: 0.889726
Test 110, loss: 1.527126, test acc: 0.915316, test avg acc: 0.882000
Train 111, loss: 1.565316, train acc: 0.923882, train avg acc: 0.887074
Test 111, loss: 1.520238, test acc: 0.914506, test avg acc: 0.881372
Train 112, loss: 1.561489, train acc: 0.927642, train avg acc: 0.893570
Test 112, loss: 1.526876, test acc: 0.912480, test avg acc: 0.867744
Train 113, loss: 1.571088, train acc: 0.923984, train avg acc: 0.888306
Test 113, loss: 1.523891, test acc: 0.918152, test avg acc: 0.884337
Train 114, loss: 1.559965, train acc: 0.924797, train avg acc: 0.887398
Test 114, loss: 1.525558, test acc: 0.912885, test avg acc: 0.874547
Train 115, loss: 1.558372, train acc: 0.927337, train avg acc: 0.893919
Test 115, loss: 1.516662, test acc: 0.911669, test avg acc: 0.867163
Train 116, loss: 1.560024, train acc: 0.925915, train avg acc: 0.892084
Test 116, loss: 1.525259, test acc: 0.910859, test avg acc: 0.873372
Train 117, loss: 1.555896, train acc: 0.926829, train avg acc: 0.893908
Test 117, loss: 1.525504, test acc: 0.910454, test avg acc: 0.867581
Train 118, loss: 1.552506, train acc: 0.929268, train avg acc: 0.898624
Test 118, loss: 1.515907, test acc: 0.917342, test avg acc: 0.885872
Train 119, loss: 1.549890, train acc: 0.932927, train avg acc: 0.902542
Test 119, loss: 1.522946, test acc: 0.920178, test avg acc: 0.885366
Train 120, loss: 1.551170, train acc: 0.929268, train avg acc: 0.898302
Test 120, loss: 1.528029, test acc: 0.916532, test avg acc: 0.883826
Train 121, loss: 1.544330, train acc: 0.931301, train avg acc: 0.897186
Test 121, loss: 1.533057, test acc: 0.909643, test avg acc: 0.878035
Train 122, loss: 1.544601, train acc: 0.929573, train avg acc: 0.898649
Test 122, loss: 1.534854, test acc: 0.910859, test avg acc: 0.879465
Train 123, loss: 1.544781, train acc: 0.935061, train avg acc: 0.906857
Test 123, loss: 1.522992, test acc: 0.911669, test avg acc: 0.871674
